;Altersbereich;Wie oft benutzt?;Alternativen;Regelm��ige Funktionen;�bersichtlichkeit der Gestaltung;Zufriedenheit Kundenservice;"Oft benutzt ""Favoriten und Verlauf""";Buchungsprozess von Tickets;Design-Intuitiv;Ticket-Verwaltung;Zugverbindung finden;Alternativvorschl�gen;SemesterticketNachweis;Andere App der DB;FeaturesInEinerApp;ZufriedenheitKurzfristigeMeldungen;Zuverfl�ssigkeitMeldungen;BewertungZeitangaben;ProblemBeiNutzung;BewertungErfahrung;Verbesserungsvorschl�ge
2023/05/17 12:24:48 PM OESZ;18 - 25;Täglich;Nein;Routenplanung (Reiseauskunft);2;Magelhaft;3;Funktioniert gut;2;1;1;3;1;Ich nutze keine andere DB App;Ja;Ich schaffe es nur sehr knapp auf die Informationen zu reagieren;4;Befriedigend;Sie zeigt oft gleiswechsel zu spät an ;2;
2023/05/17 1:10:00 PM OESZ;18 - 25;Selten;Ich benutze eine andere App;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/17 4:13:12 PM OESZ;18 - 25;Selten;Nein;Routenplanung (Reiseauskunft);2;Noch nie benutzt;3;Unübersichtlich und unverständlich;2;2;1;2;1;Ich nutze keine andere DB App;Ja;Ich bekomme die Änderungen zu Spät mit;4;Befriedigend;;2;
2023/05/17 7:41:09 PM OESZ;50<;Selten;Ich benutze die DB Website;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/17 8:51:03 PM OESZ;18 - 25;Oft;Nein;Routenplanung (Reiseauskunft);3;Unzufrieden;4;Funktioniert gut;2;2;2;2;1;Ich nutze keine andere DB App;Keine Ahnung ;Ich werde rechtzeitig informiert;2;Sehr genau;;1;Nein
2023/05/18 1:51:19 PM OESZ;50<;Selten;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/18 3:53:18 PM OESZ;50<;Oft;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/19 5:34:00 PM OESZ;50<;Oft;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/22 7:58:13 PM OESZ;26 - 35;Selten;Ich benutze eine andere App;Routenplanung (Reiseauskunft);2;In Ordnung;3;Habe ich bisher noch nicht genutzt;1;;1;2;1;Ich nutze keine andere DB App;Ja;Ich werde rechtzeitig informiert;2;Sehr genau;Nein;2;Nein
2023/05/22 8:21:50 PM OESZ;18 - 25;Gar nicht;Nein;;;;;;;;;;;;;;;;;;
2023/05/22 8:30:59 PM OESZ;18 - 25;Oft;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/22 8:33:37 PM OESZ;18 - 25;Selten;Nein;Ticketbuchung / BahnCard;3;In Ordnung;4;Funktioniert gut;2;1;2;4;1;Ich nutze keine andere DB App;Ja;Ich bekomme die Änderungen zu Spät mit;3;Befriedigend;Nein;3;Nein
2023/05/22 8:41:57 PM OESZ;18 - 25;Selten;Nein;Routenplanung (Reiseauskunft);3;In Ordnung;2;Nie benutzt;;;;;;Ich nutze keine andere DB App;Nein;Ich bekomme die Informationen immer viel zu spät mit;4;Befriedigend;Nein;3;Zeiten früh genug anzeigen,  echtzeit daten. Oft wurden änderung nicht pder viel zu spät angezeigt. Gleiswechsel meist nicht funktioniert und bei ausfällen/Verspätung wurde selten ein grund genannt 
2023/05/22 8:48:32 PM OESZ;26 - 35;Oft;Ich benutze eine andere App;;;;;;;;;;;;;;;;;;
2023/05/22 9:47:16 PM OESZ;26 - 35;Gar nicht;Ich benutze die DB Website;;;Noch nie benutzt;4;;;;;;1;Ich nutze keine andere DB App;;;;;;;
2023/05/22 10:13:34 PM OESZ;50<;Selten;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/22 10:56:02 PM OESZ;18 - 25;Selten;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/23 10:13:39 AM OESZ;18 - 25;Selten;Nein;Routenplanung (Reiseauskunft);2;Noch nie benutzt;4;Noch nie gemacht;2;2;2;2;1;Ich nutze keine andere DB App;Nein;Ich werde rechtzeitig informiert;2;Sehr genau;Nein ;2;Nein
2023/05/23 10:17:31 AM OESZ;18 - 25;Selten;Ich benutze die DB Website;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/23 3:35:39 PM OESZ;50<;Gar nicht;Nein;;;;;;;;;;;Ich nutze keine andere DB App;Ja;;;;;;
2023/05/23 6:09:11 PM OESZ;18 - 25;Oft;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/23 7:51:15 PM OESZ;18 - 25;Oft;Nein;Routenplanung (Reiseauskunft);2;Noch nie benutzt;4;Funktioniert gut;2;2;1;4;1;Ich nutze keine andere DB App;Ja;Ich bekomme die Änderungen zu Spät mit;5;Befriedigend;Manchmal lädt es,  wenn ich eine Verbindung raussuche,  unendlich und ich muss es nochmal versuchen. ;3;
2023/05/23 11:11:26 PM OESZ;26 - 35;Täglich;Nein;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
2023/05/+A1:A5425 11:04:34 PM OESZ;26 - 35;Oft;Ich benutze die DB Website;Routenplanung (Reiseauskunft);;;;;;;;;;;;;;;;;
